All,Indoor,Outdoor
accounting,aquarium,amusement_park
airport,art_gallery,campground
amusement_park,bakery,park
aquarium,bar,stadium
art_gallery,book_store,zoo
atm,bowling_alley,
bakery,cafe,
bank,casino,
bar,florist,
beauty_salon,gym,
bicycle_store,library,
book_store,lodging,
bowling_alley,movie_rental,
bus_station,movie_theater,
cafe,museum,
campground,night_club,
car_dealer,pet_store,
car_rental,restaurant,
car_repair,shopping_mall,
car_wash,spa,
casino,,
cemetery,,
church,,
city_hall,,
clothing_store,,
convenience_store,,
courthouse,,
dentist,,
department_store,,
doctor,,
electrician,,
electronics_store,,
embassy,,
fire_station,,
florist,,
funeral_home,,
furniture_store,,
gas_station,,
gym,,
hair_care,,
hardware_store,,
hindu_temple,,
home_goods_store,,
hospital,,
insurance_agency,,
jewelry_store,,
laundry,,
lawyer,,
library,,
liquor_store,,
local_government_office,,
locksmith,,
lodging,,
meal_delivery,,
meal_takeaway,,
mosque,,
movie_rental,,
movie_theater,,
moving_company,,
museum,,
night_club,,
painter,,
park,,
parking,,
pet_store,,
pharmacy,,
physiotherapist,,
plumber,,
police,,
post_office,,
real_estate_agency,,
restaurant,,
roofing_contractor,,
rv_park,,
school,,
shoe_store,,
shopping_mall,,
spa,,
stadium,,
storage,,
store,,
subway_station,,
supermarket,,
synagogue,,
taxi_stand,,
train_station,,
transit_station,,
travel_agency,,
veterinary_care,,
zoo,,
